"Time (CET/CEST)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"23.03.2025 00:00 - 23.03.2025 01:00","1825","0"
"23.03.2025 01:00 - 23.03.2025 02:00","1805","0"
"23.03.2025 02:00 - 23.03.2025 03:00","1617","0"
"23.03.2025 03:00 - 23.03.2025 04:00","1740","0"
"23.03.2025 04:00 - 23.03.2025 05:00","1725","0"
"23.03.2025 05:00 - 23.03.2025 06:00","1790","0"
"23.03.2025 06:00 - 23.03.2025 07:00","1863","0"
"23.03.2025 07:00 - 23.03.2025 08:00","1779","0"
"23.03.2025 08:00 - 23.03.2025 09:00","1633","0"
"23.03.2025 09:00 - 23.03.2025 10:00","1755","0"
"23.03.2025 10:00 - 23.03.2025 11:00","1920","0"
"23.03.2025 11:00 - 23.03.2025 12:00","1955","0"
"23.03.2025 12:00 - 23.03.2025 13:00","1885","0"
"23.03.2025 13:00 - 23.03.2025 14:00","1777","0"
"23.03.2025 14:00 - 23.03.2025 15:00","1722","0"
"23.03.2025 15:00 - 23.03.2025 16:00","1752","0"
"23.03.2025 16:00 - 23.03.2025 17:00","1723","0"
"23.03.2025 17:00 - 23.03.2025 18:00","1065","0"
"23.03.2025 18:00 - 23.03.2025 19:00","952","0"
"23.03.2025 19:00 - 23.03.2025 20:00","1016","0"
"23.03.2025 20:00 - 23.03.2025 21:00","827","0"
"23.03.2025 21:00 - 23.03.2025 22:00","980","0"
"23.03.2025 22:00 - 23.03.2025 23:00","1192","0"
"23.03.2025 23:00 - 24.03.2025 00:00","1033","0"
